city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	audio_evidence	visual_evidence	evidence_date	date_source	average_daylight_hours	day_duration	time_of_day	apparition_type	event_type	year	has_witnesses	State	Haunted_Places_Witness_Count_Description	Audio_Evidence_Count_Description	Visual_Evidence_Count_Description	Morning_Event_Count_Description	Evening_Event_Count_Description	Dusk_Event_Count_Description	Avg_Daylight_Hours_In_Year_Description	Appar_Orb_Count_Description	Appar_Ghost_Count_Description	Appar_UFO_Count_Description	Murder_Event_Count_Description	Death_Event_Count_Description	Supernatural_Event_Count_Description	Binge_Drinking_Rate_Description	Annual_Alcohol_Deaths_Description	Homicide_Incidents_Per_100K_Description	Anxiety_Disorder_Count_Description	Attention_Deficit/Hyperactivity_Disorder_Count_Description	Bipolar_Disorder_Count_Description	Primary_Depressive_Disorder_Count_Description	Trauma_And_Stressor_Related_Disorder_Count_Description	Primary_Schizophrenia_And_Other_Psychotic_Disorders_Count_Description	Co_Occurring_Mental_Health_And_Substance_Use_Disorders_Count_Description	Ozone_ppb_Description	SO2_ppb_Description	CO_ppb_Description	PM25_ugm3_Description	PM25_sulfate_ugm3_Description	PM25_nitrate_ugm3_Description	Extreme_Precipitation_Event_Rate_Description	Precipitation_Impact_Rate_Description	Precipitation_Variability_Description	extracted_location_name	extracted_latitude	extracted_longitude	location_source	PERSON	ORG	GPE	LOC	DATE	NORP	PRODUCT	EVENT	FAC	LAW	WORK_OF_ART	LANGUAGE	MONEY	PERCENT	QUANTITY	TIME	ORDINAL	CARDINAL	GHOST_TYPE	HAUNTED_LOCATION	PERSON_SPACY_SCORE	PERSON_RULE_SCORE	PERSON_NLTK_SCORE	ORG_SPACY_SCORE	ORG_RULE_SCORE	ORG_NLTK_SCORE	GPE_SPACY_SCORE	GPE_RULE_SCORE	GPE_NLTK_SCORE	LOC_SPACY_SCORE	LOC_RULE_SCORE	LOC_NLTK_SCORE	DATE_SPACY_SCORE	DATE_RULE_SCORE	DATE_NLTK_SCORE	NORP_SPACY_SCORE	NORP_RULE_SCORE	NORP_NLTK_SCORE	PRODUCT_SPACY_SCORE	PRODUCT_RULE_SCORE	PRODUCT_NLTK_SCORE	EVENT_SPACY_SCORE	EVENT_RULE_SCORE	EVENT_NLTK_SCORE	FAC_SPACY_SCORE	FAC_RULE_SCORE	FAC_NLTK_SCORE	LAW_SPACY_SCORE	LAW_RULE_SCORE	LAW_NLTK_SCORE	WORK_OF_ART_SPACY_SCORE	WORK_OF_ART_RULE_SCORE	WORK_OF_ART_NLTK_SCORE	LANGUAGE_SPACY_SCORE	LANGUAGE_RULE_SCORE	LANGUAGE_NLTK_SCORE	MONEY_SPACY_SCORE	MONEY_RULE_SCORE	MONEY_NLTK_SCORE	PERCENT_SPACY_SCORE	PERCENT_RULE_SCORE	PERCENT_NLTK_SCORE	QUANTITY_SPACY_SCORE	QUANTITY_RULE_SCORE	QUANTITY_NLTK_SCORE	TIME_SPACY_SCORE	TIME_RULE_SCORE	TIME_NLTK_SCORE	ORDINAL_SPACY_SCORE	ORDINAL_RULE_SCORE	ORDINAL_NLTK_SCORE	CARDINAL_SPACY_SCORE	CARDINAL_RULE_SCORE	CARDINAL_NLTK_SCORE	GHOST_TYPE_SPACY_SCORE	GHOST_TYPE_RULE_SCORE	GHOST_TYPE_NLTK_SCORE	HAUNTED_LOCATION_SPACY_SCORE	HAUNTED_LOCATION_RULE_SCORE	HAUNTED_LOCATION_NLTK_SCORE	spacy_entities	nltk_entities
Geauga	United States	International Restaurant, above the main entrance to the park is haunted by the ghost of a former chef who killed himself with a knife while working by himself late one night at the restaurant. International Restaurant has not been opened for years, apparently for financial reasons. However, despite its inactivity, lights are still seen in the back of the restaurant late at nights after close, witnesses have seen silhouettes of some human moving about in the faint light. The silhouette is unusually tall and carries something in his hand, which we are attributing to a chef's hat and the knife he killed himself with.	Kings Island	ohio	OH	-84.2691423	39.3451798	-81.20781640000001	41.4641521	False	True	2014/02/26	wikipedia	13.716666666666669		Afternoon	Ghost	Murder	2014	True	ohio	Moderate Witnesses	Little Evidence	Little Evidence	Rare Events	Rare Events	Occasional Events	Moderate daylight duration	Moderate Sightings	Moderate Sightings	Moderate Sightings	Few Incidents	Some Incidents	Few Paranormal Incidents			Few Homicides								Moderate Air Pollution	Good Air Quality	Moderate Air Pollution	Poor Air Quality	Poor Air Quality	Poor Air Quality	Stable Weather Patterns	Low Precipitation Impact	Stable Weather Patterns	Kings Island	42.38419	-88.18092	description					years (SpaCy_Score: 0.0000, Rule_Score: 0.4000)											late one night (SpaCy_Score: 0.0000, Rule_Score: 0.4000), nights (SpaCy_Score: 0.0000, Rule_Score: 0.4000)			ghost (SpaCy_Score: 0.0000, Rule_Score: 0.9000)														years (Score: 0.0000)	years (Score: 0.4000)																																late one night (Score: 0.0000), nights (Score: 0.0000)	late one night (Score: 0.4000), nights (Score: 0.4000)								ghost (Score: 0.0000)	ghost (Score: 0.9000)					"[{""text"": ""ghost"", ""label"": ""GHOST_TYPE"", ""start"": 80, ""end"": 85, ""spacy_score"": 1e-05, ""rule_score"": 0.9}, {""text"": ""late one night"", ""label"": ""TIME"", ""start"": 160, ""end"": 174, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""years"", ""label"": ""DATE"", ""start"": 243, ""end"": 248, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""nights"", ""label"": ""TIME"", ""start"": 377, ""end"": 383, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Geneva	United States	This bar is located on the second floor of a restaurant. At nine the restaurant is closed for business but the bar remains open until late at night. Many patrons have seen shadows of people in the restaurant part of the building late at night, when no one should have been down there, even though all entrances to the restaurant are locked after closing.	The Step Above Bar	ohio	OH	-80.9289934	41.8635667	-80.94814889999999	41.8050539	False	True	2025/02/26	wikipedia	13.783333333333331		Afternoon	Shadow Figure	Natural Disaster	2025	True																																		The Step Above Bar	41.8635667	-80.9289934	original																late at night (SpaCy_Score: 0.0000, Rule_Score: 0.4000)	second (SpaCy_Score: 0.0000, Rule_Score: 0.4000)	nine (SpaCy_Score: 0.0000, Rule_Score: 0.4000)																																																late at night (Score: 0.0000)	late at night (Score: 0.4000)		second (Score: 0.0000)	second (Score: 0.4000)		nine (Score: 0.0000)	nine (Score: 0.4000)								"[{""text"": ""second"", ""label"": ""ORDINAL"", ""start"": 27, ""end"": 33, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""nine"", ""label"": ""CARDINAL"", ""start"": 60, ""end"": 64, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""late at night"", ""label"": ""TIME"", ""start"": 134, ""end"": 147, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Germantown	United States	A little girl died on this bridge when her brother threw her off. No people go under the bridge to hear her singing the same song she did the day she died. Another story is a long time ago a truck driver went off the road into the creek and died. Sometimes at night you can see his lights.	steal bridge	ohio	OH			-84.3693882	39.6261682	True	False	1978/02/26	wikipedia	13.633333333333333		Morning	Ghost Light	Death	1978	True																																										the day (SpaCy_Score: 0.0000, Rule_Score: 0.4000)																												the day (Score: 0.0000)	the day (Score: 0.4000)																																															"[{""text"": ""the day"", ""label"": ""DATE"", ""start"": 138, ""end"": 145, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Gibsonburg	United States	Lights in the upper room come on and off for no reason. Janitors report locking doors with chains and having the chains unlocked. Strange footsteps heard through small gym, like someone walking on old floorboards. It is told by many students that there has been a haunting in the janitors closet. Some students got locked in for days. No food or no water. In 1949 3 well fed students were locked in after cleaning off paintbrushes in the closet. They were found by the janitor 5 days later all very thin almost looking anorexic, 2 were dead. Many say they still haunt the school to this day and want revenge by whoever decided to lock them in. - December 2006 Update: Gibsonburg has torn down the old school and a new one has been built.	Gibsonburg High School	ohio	OH	-83.3220851	41.3759555	-83.32048069999999	41.3844964	True	True	1949/01/01	description	13.6		Morning	Ghost Light	Unknown	1949	True																																		Gibsonburg High School	41.3759555	-83.3220851	original		Gibsonburg (SpaCy_Score: 0.0000, Rule_Score: 0.4000)			days (SpaCy_Score: 0.0000, Rule_Score: 0.4000), 1949 3 (SpaCy_Score: 0.0000, Rule_Score: 0.4000), 5 days later (SpaCy_Score: 0.0000, Rule_Score: 0.4000), December 2006 (SpaCy_Score: 0.0000, Rule_Score: 0.4000)													2 (SpaCy_Score: 0.0000, Rule_Score: 0.4000)	haunting (SpaCy_Score: 0.0000, Rule_Score: 0.9000)					Gibsonburg (Score: 0.0000)	Gibsonburg (Score: 0.4000)								days (Score: 0.0000), 1949 3 (Score: 0.0000), 5 days later (Score: 0.0000), December 2006 (Score: 0.0000)	days (Score: 0.4000), 1949 3 (Score: 0.4000), 5 days later (Score: 0.4000), December 2006 (Score: 0.4000)																																						2 (Score: 0.0000)	2 (Score: 0.4000)		haunting (Score: 0.0000)	haunting (Score: 0.9000)					"[{""text"": ""haunting"", ""label"": ""GHOST_TYPE"", ""start"": 264, ""end"": 272, ""spacy_score"": 1e-05, ""rule_score"": 0.9}, {""text"": ""days"", ""label"": ""DATE"", ""start"": 329, ""end"": 333, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""1949 3"", ""label"": ""DATE"", ""start"": 359, ""end"": 365, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""5 days later"", ""label"": ""DATE"", ""start"": 477, ""end"": 489, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""2"", ""label"": ""CARDINAL"", ""start"": 529, ""end"": 530, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""December 2006"", ""label"": ""DATE"", ""start"": 646, ""end"": 659, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""Gibsonburg"", ""label"": ""ORG"", ""start"": 668, ""end"": 678, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Glenville	United States	It used to be an old nursing home but had been vacant for 10 years before the school moved in. The school is the Virtual Schoolhouse. Staff hears loud screaming and footsteps before school. The basement doors close for no reason and voices can be heard when no one is around.	736 Lakeview Ave	ohio	OH	-81.6086827	41.5371448	-81.61720830000002	41.5320644	True	False	2009/02/26	wikipedia	13.65		Unknown	Mist	Unknown	2009	False																																		Glenville	43.57246	-93.28132	description					10 years (SpaCy_Score: 0.0000, Rule_Score: 0.4000)																												10 years (Score: 0.0000)	10 years (Score: 0.4000)																																															"[{""text"": ""10 years"", ""label"": ""DATE"", ""start"": 58, ""end"": 66, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Granville	United States	The innkeepers from the 1800's haunt the place.	Buxton Inn	ohio	OH	-82.51625299999999	40.067396	-82.51960369999999	40.06811920000001	False	False	2025/02/26	wikipedia	13.65		Afternoon	Unknown	Supernatural Phenomenon	2025	False																																		Granville County	36.30402	-78.65302	description					1800 (SpaCy_Score: 0.0000, Rule_Score: 0.4000)																												1800 (Score: 0.0000)	1800 (Score: 0.4000)																																															"[{""text"": ""1800"", ""label"": ""DATE"", ""start"": 24, ""end"": 28, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Granville	United States	On the 7th tier of the Denison University library, students who have fallen asleep reported being woken up by a shadowy woman in old dress. This woman evidently has a serious problem with male students, and will wake them by hitting them on the back of the head with some type of rod.	Denison University	ohio	OH	-82.5223309	40.0734583	-82.51960369999999	40.06811920000001	False	True	1831/02/26	wikipedia	13.65		Morning	Shadow Figure	Unknown	1831	True																																		Denison University	40.0734583	-82.5223309	original		Denison University (SpaCy_Score: 0.0000, Rule_Score: 0.4000)															7th (SpaCy_Score: 0.0000, Rule_Score: 0.4000)							Denison University (Score: 0.0000)	Denison University (Score: 0.4000)																																												7th (Score: 0.0000)	7th (Score: 0.4000)											"[{""text"": ""7th"", ""label"": ""ORDINAL"", ""start"": 7, ""end"": 10, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""Denison University"", ""label"": ""ORG"", ""start"": 23, ""end"": 41, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Gratis	United States	on Brubaker Rd. A lady and her baby died on this covered bridge many years ago. At night you can sometimes hear a lady’s screams and a baby crying.	Brubaker Bridge	ohio	OH	-84.5439336	39.6515445	-84.52717109999999	39.6478321	True	False	1800/02/26	wikipedia	13.733333333333333		Afternoon	Ghost Light	Death	1800	False																																		Brubaker Bridge	39.6515445	-84.5439336	original	Brubaker Rd (SpaCy_Score: 0.0000, Rule_Score: 0.4000)		Bridge (SpaCy_Score: 0.0000, Rule_Score: 0.4000)		many years ago (SpaCy_Score: 0.0000, Rule_Score: 0.4000)											night (SpaCy_Score: 0.0000, Rule_Score: 0.4000)					Brubaker Rd (Score: 0.0000)	Brubaker Rd (Score: 0.4000)					Bridge (Score: 0.0000)	Bridge (Score: 0.4000)					many years ago (Score: 0.0000)	many years ago (Score: 0.4000)																																night (Score: 0.0000)	night (Score: 0.4000)														"[{""text"": ""Brubaker Rd"", ""label"": ""PERSON"", ""start"": 3, ""end"": 14, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""Bridge"", ""label"": ""GPE"", ""start"": 57, ""end"": 63, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""many years ago"", ""label"": ""DATE"", ""start"": 64, ""end"": 78, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""night"", ""label"": ""TIME"", ""start"": 83, ""end"": 88, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Gratis	United States	April 2008 Correction: Formerly listed in Germantown - Late at night if you travel through the road your car will suddenly die and will not start for a period of time. its bin said that you can see what looks like floating lamps in the distance off to the side of the road.	Fudge Road	ohio	OH	-84.5205786	39.6654193	-84.52717109999999	39.6478321	False	True	2025/02/26	wikipedia	13.8		Afternoon	Ghost Light	Unknown	2025	True																																		Gratis	39.64783	-84.52717	description	bin (SpaCy_Score: 0.0000, Rule_Score: 0.4000)		Germantown (SpaCy_Score: 0.0000, Rule_Score: 0.4000)		April 2008 Correction: Formerly (SpaCy_Score: 0.0000, Rule_Score: 0.4000)																bin (Score: 0.0000)	bin (Score: 0.4000)					Germantown (Score: 0.0000)	Germantown (Score: 0.4000)					April 2008 Correction: Formerly (Score: 0.0000)	April 2008 Correction: Formerly (Score: 0.4000)																																															"[{""text"": ""April 2008 Correction: Formerly"", ""label"": ""DATE"", ""start"": 0, ""end"": 31, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""Germantown"", ""label"": ""GPE"", ""start"": 42, ""end"": 52, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""bin"", ""label"": ""PERSON"", ""start"": 172, ""end"": 175, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Green Springs	United States	AT the only school in Green Springs, Ohio there is herd to be ghosts at the school. In the late 1800's the school burnt down and supposedly there was some high schoolers in it that never got out. In 1939 they rebuilt the school and it's still there today. When your in some classrooms on the 2nd floor like the rooms 6c or 6g in 6c when the door is open & when it's real quiet the door will close for no reason at all. when in 6g once or twice a week everyone will be doing their work when you have a feeling that someone is behind you. your almost positive until you turn around and look but the teacher is not behind you	GS elementary	ohio	OH	-83.050736	41.262229	-83.0515829	41.25616489999999	False	True	1939/01/01	description	13.35		Afternoon	Unknown	Death	1939	False																																		Fort Green Springs	27.5917	-81.93925	description			Green Springs (SpaCy_Score: 0.0000, Rule_Score: 0.4000), Ohio (SpaCy_Score: 0.0000, Rule_Score: 0.4000)		the late 1800's (SpaCy_Score: 0.0000, Rule_Score: 0.4000), 1939 (SpaCy_Score: 0.0000, Rule_Score: 0.4000), today (SpaCy_Score: 0.0000, Rule_Score: 0.4000)												2nd (SpaCy_Score: 0.0000, Rule_Score: 0.4000)	6c (SpaCy_Score: 0.0000, Rule_Score: 0.4000), 6 (SpaCy_Score: 0.0000, Rule_Score: 0.4000), 6c (SpaCy_Score: 0.0000, Rule_Score: 0.4000), 6 (SpaCy_Score: 0.0000, Rule_Score: 0.4000)									Green Springs (Score: 0.0000), Ohio (Score: 0.0000)	Green Springs (Score: 0.4000), Ohio (Score: 0.4000)					the late 1800's (Score: 0.0000), 1939 (Score: 0.0000), today (Score: 0.0000)	the late 1800's (Score: 0.4000), 1939 (Score: 0.4000), today (Score: 0.4000)																																			2nd (Score: 0.0000)	2nd (Score: 0.4000)		6c (Score: 0.0000), 6 (Score: 0.0000), 6c (Score: 0.0000), 6 (Score: 0.0000)	6c (Score: 0.4000), 6 (Score: 0.4000), 6c (Score: 0.4000), 6 (Score: 0.4000)								"[{""text"": ""Green Springs"", ""label"": ""GPE"", ""start"": 22, ""end"": 35, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""Ohio"", ""label"": ""GPE"", ""start"": 37, ""end"": 41, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""the late 1800's"", ""label"": ""DATE"", ""start"": 87, ""end"": 102, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""1939"", ""label"": ""DATE"", ""start"": 199, ""end"": 203, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""today"", ""label"": ""DATE"", ""start"": 249, ""end"": 254, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""2nd"", ""label"": ""ORDINAL"", ""start"": 292, ""end"": 295, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""6c"", ""label"": ""CARDINAL"", ""start"": 317, ""end"": 319, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""6"", ""label"": ""CARDINAL"", ""start"": 323, ""end"": 324, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""6c"", ""label"": ""CARDINAL"", ""start"": 329, ""end"": 331, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""6"", ""label"": ""CARDINAL"", ""start"": 427, ""end"": 428, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
