city	country	description	location	state	state_abbrev	longitude	latitude	city_longitude	city_latitude	audio_evidence	visual_evidence	evidence_date	date_source	average_daylight_hours	day_duration	time_of_day	apparition_type	event_type	year	has_witnesses	State	Haunted_Places_Witness_Count_Description	Audio_Evidence_Count_Description	Visual_Evidence_Count_Description	Morning_Event_Count_Description	Evening_Event_Count_Description	Dusk_Event_Count_Description	Avg_Daylight_Hours_In_Year_Description	Appar_Orb_Count_Description	Appar_Ghost_Count_Description	Appar_UFO_Count_Description	Murder_Event_Count_Description	Death_Event_Count_Description	Supernatural_Event_Count_Description	Binge_Drinking_Rate_Description	Annual_Alcohol_Deaths_Description	Homicide_Incidents_Per_100K_Description	Anxiety_Disorder_Count_Description	Attention_Deficit/Hyperactivity_Disorder_Count_Description	Bipolar_Disorder_Count_Description	Primary_Depressive_Disorder_Count_Description	Trauma_And_Stressor_Related_Disorder_Count_Description	Primary_Schizophrenia_And_Other_Psychotic_Disorders_Count_Description	Co_Occurring_Mental_Health_And_Substance_Use_Disorders_Count_Description	Ozone_ppb_Description	SO2_ppb_Description	CO_ppb_Description	PM25_ugm3_Description	PM25_sulfate_ugm3_Description	PM25_nitrate_ugm3_Description	Extreme_Precipitation_Event_Rate_Description	Precipitation_Impact_Rate_Description	Precipitation_Variability_Description	extracted_location_name	extracted_latitude	extracted_longitude	location_source	PERSON	ORG	GPE	LOC	DATE	NORP	PRODUCT	EVENT	FAC	LAW	WORK_OF_ART	LANGUAGE	MONEY	PERCENT	QUANTITY	TIME	ORDINAL	CARDINAL	GHOST_TYPE	HAUNTED_LOCATION	PERSON_SPACY_SCORE	PERSON_RULE_SCORE	PERSON_NLTK_SCORE	ORG_SPACY_SCORE	ORG_RULE_SCORE	ORG_NLTK_SCORE	GPE_SPACY_SCORE	GPE_RULE_SCORE	GPE_NLTK_SCORE	LOC_SPACY_SCORE	LOC_RULE_SCORE	LOC_NLTK_SCORE	DATE_SPACY_SCORE	DATE_RULE_SCORE	DATE_NLTK_SCORE	NORP_SPACY_SCORE	NORP_RULE_SCORE	NORP_NLTK_SCORE	PRODUCT_SPACY_SCORE	PRODUCT_RULE_SCORE	PRODUCT_NLTK_SCORE	EVENT_SPACY_SCORE	EVENT_RULE_SCORE	EVENT_NLTK_SCORE	FAC_SPACY_SCORE	FAC_RULE_SCORE	FAC_NLTK_SCORE	LAW_SPACY_SCORE	LAW_RULE_SCORE	LAW_NLTK_SCORE	WORK_OF_ART_SPACY_SCORE	WORK_OF_ART_RULE_SCORE	WORK_OF_ART_NLTK_SCORE	LANGUAGE_SPACY_SCORE	LANGUAGE_RULE_SCORE	LANGUAGE_NLTK_SCORE	MONEY_SPACY_SCORE	MONEY_RULE_SCORE	MONEY_NLTK_SCORE	PERCENT_SPACY_SCORE	PERCENT_RULE_SCORE	PERCENT_NLTK_SCORE	QUANTITY_SPACY_SCORE	QUANTITY_RULE_SCORE	QUANTITY_NLTK_SCORE	TIME_SPACY_SCORE	TIME_RULE_SCORE	TIME_NLTK_SCORE	ORDINAL_SPACY_SCORE	ORDINAL_RULE_SCORE	ORDINAL_NLTK_SCORE	CARDINAL_SPACY_SCORE	CARDINAL_RULE_SCORE	CARDINAL_NLTK_SCORE	GHOST_TYPE_SPACY_SCORE	GHOST_TYPE_RULE_SCORE	GHOST_TYPE_NLTK_SCORE	HAUNTED_LOCATION_SPACY_SCORE	HAUNTED_LOCATION_RULE_SCORE	HAUNTED_LOCATION_NLTK_SCORE	spacy_entities	nltk_entities
Abercrombie	United States	ghostly Indians and soldiers have been seen here.	Fort Abercrombie	north dakota	ND	-96.7194154	46.4448541	-96.7303557	46.44773840000001	False	True	1526/02/26	wikipedia	12.983333333333333	11.283333333333331	Morning	Ghost	Supernatural Phenomenon	1526	True																																		Fort Abercrombie State Historical Park	57.83114	-152.35574	description						Indians (SpaCy_Score: 0.0000, Rule_Score: 0.4000)																														Indians (Score: 0.0000)	Indians (Score: 0.4000)																																												"[{""text"": ""Indians"", ""label"": ""NORP"", ""start"": 8, ""end"": 15, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Akra/Leroy	United States	it's to be said that a lady has been seen with a rope around her neck in a white dress walking across the road. Back in the 1940's it's said that the lady hung herself after getting the message that her husband has been killed by a gunshot at war. She lurks around sometime at 11:00P.M-12:00A.M.	Road between Akra and Leroy	north dakota	ND					False	True	2025/05/26	wikipedia	12.983333333333333	11.283333333333331	Morning	Unknown	Murder	2025	True																																		Acre	32.92814	35.07647	description					1940 (SpaCy_Score: 0.0000, Rule_Score: 0.4000)													11:00P.M-12:00A.M. (SpaCy_Score: 0.0000, Rule_Score: 0.4000)															1940 (Score: 0.0000)	1940 (Score: 0.4000)																																						11:00P.M-12:00A.M. (Score: 0.0000)	11:00P.M-12:00A.M. (Score: 0.4000)								"[{""text"": ""1940"", ""label"": ""DATE"", ""start"": 124, ""end"": 128, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""11:00P.M-12:00A.M."", ""label"": ""CARDINAL"", ""start"": 277, ""end"": 295, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Amidon	United States	Not only a fine place to dine, Georgia's and the Owl is home to several paranormal activities.  A little boy has been reported to run around the restaurant, playing and bumping into people.  Occasionally, music and voices can be heard.  Potato chip bags clipped to a rack have been found strewn about the floor when the restaurant was opened for the day.  A local team of investigators has conducted extensive investigations here and has recorded some strange muttering voices.	Georgia's and the Owl	north dakota	ND	-103.3211637	46.4826789	-103.3218466	46.4822327	True	False	1513/02/26	wikipedia		11.283333333333331	Unknown	Unknown	Supernatural Phenomenon	1513	True																																		Georgia's and the Owl	46.4826789	-103.3211637	original	Potato (SpaCy_Score: 0.0000, Rule_Score: 0.4000)		Georgia (SpaCy_Score: 0.0000, Rule_Score: 0.4000)		the day (SpaCy_Score: 0.0000, Rule_Score: 0.4000)		Owl (SpaCy_Score: 0.0000, Rule_Score: 0.4000)														Potato (Score: 0.0000)	Potato (Score: 0.4000)					Georgia (Score: 0.0000)	Georgia (Score: 0.4000)					the day (Score: 0.0000)	the day (Score: 0.4000)					Owl (Score: 0.0000)	Owl (Score: 0.4000)																																									"[{""text"": ""Georgia"", ""label"": ""GPE"", ""start"": 31, ""end"": 38, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""Owl"", ""label"": ""PRODUCT"", ""start"": 49, ""end"": 52, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""Potato"", ""label"": ""PERSON"", ""start"": 237, ""end"": 243, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""the day"", ""label"": ""DATE"", ""start"": 346, ""end"": 353, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Anamoose	United States	This is now a bed and breakfast, but used to be the first school house in North Dakota, in the early 1800's. It is said that at one time there was a fire started by a coal burning stove in which the Superintendent(who smoked cigars) died in along with a young school boy. When the people that turned the old school into the bed and breakfast begin tearing down things that needed repair things started happening such as objects vanishing and moaning. Lights flickering on and off and a light would turn on in the cellar that when you used the switch to turn it off it would not go off. Also when working one day the smelled cigar smoke, neither of them being smokers went to see what it was. In the cellar there was smoke in the air, cigar smoke coming from a cigar that was still hot. Once they started putting things back things gradually got better. Witnesses report feelings of being watched and there's cold spots and sometimes the hair stands up on the back of your neck.	Sage Hill Bed and Breakfast	north dakota	ND	-100.1357734	47.8908538	-100.241246	47.8825008	False	True	2025/02/26	wikipedia		11.283333333333331	Morning	Ghost Light	Death	2025	True																																		North Dakota	47.50027	-100.00068	description		House (SpaCy_Score: 0.0000, Rule_Score: 0.4000)	North Dakota (SpaCy_Score: 0.0000, Rule_Score: 0.4000)		the early 1800's (SpaCy_Score: 0.0000, Rule_Score: 0.4000)												first (SpaCy_Score: 0.0000, Rule_Score: 0.4000)	one (SpaCy_Score: 0.0000, Rule_Score: 0.4000)						House (Score: 0.0000)	House (Score: 0.4000)		North Dakota (Score: 0.0000)	North Dakota (Score: 0.4000)					the early 1800's (Score: 0.0000)	the early 1800's (Score: 0.4000)																																			first (Score: 0.0000)	first (Score: 0.4000)		one (Score: 0.0000)	one (Score: 0.4000)								"[{""text"": ""first"", ""label"": ""ORDINAL"", ""start"": 52, ""end"": 57, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""House"", ""label"": ""ORG"", ""start"": 65, ""end"": 70, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""North Dakota"", ""label"": ""GPE"", ""start"": 74, ""end"": 86, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""the early 1800's"", ""label"": ""DATE"", ""start"": 91, ""end"": 107, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""one"", ""label"": ""CARDINAL"", ""start"": 128, ""end"": 131, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Belcourt	United States	It has been said that a long time ago a fire was at the school  and a couple of people had died there ,kids have said to have said to have seen a man dressed really old clothes holding his hat down and looking at the ground in a shocked sort of way, also people have said to have turned the lights off while going to the bath room and when they were done they found the lights back on and they never heard anything.	Belcourt School	north dakota	ND	-99.7858678	48.8069997	-99.7448689	48.8391712	False	True	2025/05/26	wikipedia		11.283333333333331	Unknown	Unknown	Death	2025	True																																		Belcourt School	48.8069997	-99.7858678	original																																																																																	[]	[]
Bismarck	United States	It has been said that about 10 years or more ago, a janitor had died of natural causes in the middle of the night while cleaning and was found the next morning. Since then, strange occurrences have happened with nobody being in control of them. At night there are weird noises and your hair on the back of your neck stands up. This especially happens when you are there alone. A woman chef that used to work there around the same time as the janitor has since passed away and has been spotted in the kitchen and could also be a part of the occurrences.	Apple Creek Country Club	north dakota	ND	-100.6512074	46.8073722	-100.7837392	46.8083268	True	False	1945/02/26	wikipedia	13.033333333333331	11.283333333333331	Afternoon	Ghost Light	Death	1945	False																																		Apple Creek	40.75172	-81.8393	description					about 10 years or more ago (SpaCy_Score: 0.0000, Rule_Score: 0.4000), the middle of the night (SpaCy_Score: 0.0000, Rule_Score: 0.4000)											the next morning (SpaCy_Score: 0.0000, Rule_Score: 0.4000), night (SpaCy_Score: 0.0000, Rule_Score: 0.4000)																	about 10 years or more ago (Score: 0.0000), the middle of the night (Score: 0.0000)	about 10 years or more ago (Score: 0.4000), the middle of the night (Score: 0.4000)																																the next morning (Score: 0.0000), night (Score: 0.0000)	the next morning (Score: 0.4000), night (Score: 0.4000)														"[{""text"": ""about 10 years or more ago"", ""label"": ""DATE"", ""start"": 22, ""end"": 48, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""the middle of the night"", ""label"": ""DATE"", ""start"": 90, ""end"": 113, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""the next morning"", ""label"": ""TIME"", ""start"": 143, ""end"": 159, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""night"", ""label"": ""TIME"", ""start"": 248, ""end"": 253, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Cannonball	United States	"people say there was a man about 6'0"" feet tall wearing a black trench coat and had hoofs with a hat on he walked in and said I know you all and walked in the bathroom and around the corner there was a tail slide around the corner even though there is no windows in the cowboys bathroom he never came back out and when someone went in there, no one was in there??"	Kelly’s bar	north dakota	ND	-100.5880684	46.3951509	-100.5940114	46.3894387	False	False	1968/02/26	wikipedia	13.066666666666666	11.283333333333331	Morning	Unknown	Unknown	1968	False																																		Kelly’s View	-29.15	26.1	description															"about 6'0"" feet (SpaCy_Score: 0.0000, Rule_Score: 0.4000)"																																																"about 6'0"" feet (Score: 0.0000)"	"about 6'0"" feet (Score: 0.4000)"																	"[{""text"": ""about 6'0\"" feet"", ""label"": ""QUANTITY"", ""start"": 27, ""end"": 42, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Dickinson	United States	There have been many reports of toilets flushing by themselves and the feeling of being watched/followed by workers in the early morning hours. The ghost is said to be that of a doctor who went on a fishing trip, but never returned. He is believed to have drowned on that fateful trip.	Ear, Nose and Throat Clinic	north dakota	ND	-102.8208541	46.88924129999999	-102.7896242	46.8791756	False	True	2008/02/26	wikipedia	13.05	11.283333333333331	Morning	Ghost	Death	2008	True																																		Ear, Nose and Throat Clinic	46.88924129999999	-102.8208541	original																the early morning hours (SpaCy_Score: 0.0000, Rule_Score: 0.4000)			ghost (SpaCy_Score: 0.0000, Rule_Score: 0.9000)																																															the early morning hours (Score: 0.0000)	the early morning hours (Score: 0.4000)								ghost (Score: 0.0000)	ghost (Score: 0.9000)					"[{""text"": ""the early morning hours"", ""label"": ""TIME"", ""start"": 119, ""end"": 142, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""ghost"", ""label"": ""GHOST_TYPE"", ""start"": 148, ""end"": 153, ""spacy_score"": 1e-05, ""rule_score"": 0.9}]"	[]
Dickinson	United States	There are reports that a figure can be seen walking the mall after hours. One story goes that a police officer was making his rounds in his vehicle and saw someone inside in the mall. When he went to investigate, he could find no one.	Praire Hills Mall	north dakota	ND	-102.7924956	46.9009617	-102.7896242	46.8791756	False	True	2008/02/26	wikipedia	13.016666666666667	11.283333333333331	Afternoon	Unknown	Unknown	2008	True																																		Praire Hills Mall	46.9009617	-102.7924956	original																hours (SpaCy_Score: 0.0000, Rule_Score: 0.4000)		One (SpaCy_Score: 0.0000, Rule_Score: 0.4000)																																																hours (Score: 0.0000)	hours (Score: 0.4000)					One (Score: 0.0000)	One (Score: 0.4000)								"[{""text"": ""hours"", ""label"": ""TIME"", ""start"": 67, ""end"": 72, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""One"", ""label"": ""CARDINAL"", ""start"": 74, ""end"": 77, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
Dickinson	United States	It is said that the elevator door leading to the morgue often opens by itself at night. The key is that the doors can only be activated from the inside of the morgue. The area near the cafeteria is also said be haunted. A soft, eerie moan can sometimes be heard coming from the area late at night. There are reports of the nurse's call button being pressed late at night on the third floor in unoccupied rooms. The voices of children laughing and running can often be heard in the old section of the admin offices from the basement.	St Joseph’s Hospital	north dakota	ND	-102.8208291	46.8891318	-102.7896242	46.8791756	True	False	2008/02/26	wikipedia	13.033333333333331	11.283333333333331	Afternoon	Unknown	Supernatural Phenomenon	2008	True																																		St Joseph’s Hospital	46.8891318	-102.8208291	original																night (SpaCy_Score: 0.0000, Rule_Score: 0.4000), late at night (SpaCy_Score: 0.0000, Rule_Score: 0.4000)	third (SpaCy_Score: 0.0000, Rule_Score: 0.4000)																																																	night (Score: 0.0000), late at night (Score: 0.0000)	night (Score: 0.4000), late at night (Score: 0.4000)		third (Score: 0.0000)	third (Score: 0.4000)											"[{""text"": ""night"", ""label"": ""TIME"", ""start"": 81, ""end"": 86, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""late at night"", ""label"": ""TIME"", ""start"": 357, ""end"": 370, ""spacy_score"": 1e-05, ""rule_score"": 0.4}, {""text"": ""third"", ""label"": ""ORDINAL"", ""start"": 378, ""end"": 383, ""spacy_score"": 1e-05, ""rule_score"": 0.4}]"	[]
